START ALGORITHM:
I am going to build an instance with N: 1000 variables and 9500 clauses with a clause density equal to 9.5
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
956 8455 17.67341 0.01767341 8.84414226
956 8455 17.6734047 0.0176734047 8.84414226
956 8455 17.673404 0.017673404 8.84414226
956 8455 17.6734039 0.0176734039 8.84414226
955 8433 17.600308 0.017600308 8.83036649
955 8433 17.5996391 0.0175996391 8.83036649
955 8433 17.5997533 0.0175997533 8.83036649
955 8433 17.5997919 0.0175997919 8.83036649
955 8433 17.5997895 0.0175997895 8.83036649
955 8433 17.5997879 0.0175997879 8.83036649
955 8433 17.5997877 0.0175997877 8.83036649
955 8433 17.5997874 0.0175997874 8.83036649
955 8433 17.5997873 0.0175997873 8.83036649
955 8433 17.5997873 0.0175997873 8.83036649
954 8405 17.5256714 0.0175256714 8.81027254
954 8405 17.5259723 0.0175259723 8.81027254
954 8405 17.526086 0.017526086 8.81027254
954 8405 17.5260373 0.0175260373 8.81027254
954 8405 17.5259534 0.0175259534 8.81027254
954 8405 17.5258492 0.0175258492 8.81027254
954 8405 17.525992 0.017525992 8.81027254
954 8405 17.5260524 0.0175260524 8.81027254
954 8405 17.5260776 0.0175260776 8.81027254
954 8405 17.5260772 0.0175260772 8.81027254
953 8381 17.4514987 0.0174514987 8.79433368
953 8381 17.4515219 0.0174515219 8.79433368
953 8387 17.4509857 0.0174509857 8.80062959
953 8387 17.4500405 0.0174500405 8.80062959
953 8381 17.4517838 0.0174517838 8.79433368
953 8381 17.4513031 0.0174513031 8.79433368
953 8387 17.4508431 0.0174508431 8.80062959
953 8387 17.4501085 0.0174501085 8.80062959
953 8381 17.4517803 0.0174517803 8.79433368
953 8381 17.4513021 0.0174513021 8.79433368
952 8359 17.3786566 0.0173786566 8.78046218
952 8359 17.3783188 0.0173783188 8.78046218
952 8357 17.3787622 0.0173787622 8.77836134
952 8359 17.378422 0.017378422 8.78046218
952 8359 17.3785311 0.0173785311 8.78046218
952 8359 17.3785841 0.0173785841 8.78046218
952 8357 17.3787195 0.0173787195 8.77836134
952 8359 17.3784323 0.0173784323 8.78046218
952 8359 17.3785302 0.0173785302 8.78046218
952 8359 17.3785865 0.0173785865 8.78046218
951 8335 17.3066753 0.0173066753 8.76445846
951 8335 17.3066315 0.0173066315 8.76445846
951 8335 17.3066038 0.0173066038 8.76445846
951 8335 17.3061594 0.0173061594 8.76445846
951 8335 17.3063293 0.0173063293 8.76445846
951 8335 17.3062546 0.0173062546 8.76445846
951 8335 17.306276 0.017306276 8.76445846
951 8335 17.3062744 0.0173062744 8.76445846
951 8335 17.306273 0.017306273 8.76445846
951 8335 17.3062735 0.0173062735 8.76445846
950 8310 17.2312331 0.0172312331 8.74736842
950 8310 17.2313058 0.0172313058 8.74736842
950 8310 17.2314877 0.0172314877 8.74736842
950 8310 17.2315191 0.0172315191 8.74736842
950 8310 17.2315053 0.0172315053 8.74736842
950 8310 17.2315187 0.0172315187 8.74736842
950 8310 17.2315159 0.0172315159 8.74736842
950 8310 17.2315152 0.0172315152 8.74736842
950 8310 17.2315151 0.0172315151 8.74736842
950 8310 17.2315152 0.0172315152 8.74736842
949 8291 17.1557116 0.0171557116 8.73656481
949 8291 17.1555395 0.0171555395 8.73656481
949 8291 17.155936 0.017155936 8.73656481
949 8291 17.1554111 0.0171554111 8.73656481
949 8291 17.1558162 0.0171558162 8.73656481
949 8291 17.1554085 0.0171554085 8.73656481
949 8291 17.1558183 0.0171558183 8.73656481
949 8291 17.1554067 0.0171554067 8.73656481
949 8291 17.1558182 0.0171558182 8.73656481
949 8291 17.1554067 0.0171554067 8.73656481
948 8272 17.0783628 0.0170783628 8.7257384
948 8268 17.0795894 0.0170795894 8.72151899
948 8268 17.083551 0.017083551 8.72151899
948 8268 17.0833591 0.0170833591 8.72151899
948 8268 17.0832238 0.0170832238 8.72151899
948 8268 17.0832928 0.0170832928 8.72151899
948 8268 17.0833232 0.0170833232 8.72151899
948 8268 17.0833295 0.0170833295 8.72151899
948 8268 17.0833288 0.0170833288 8.72151899
948 8268 17.0833287 0.0170833287 8.72151899
947 8249 17.010389 0.017010389 8.71066526
947 8249 17.0102769 0.0170102769 8.71066526
947 8249 17.010766 0.017010766 8.71066526
947 8249 17.0101952 0.0170101952 8.71066526
947 8249 17.0106921 0.0170106921 8.71066526
947 8249 17.0101809 0.0170101809 8.71066526
947 8249 17.0106861 0.0170106861 8.71066526
947 8249 17.0101817 0.0170101817 8.71066526
947 8249 17.0106866 0.0170106866 8.71066526
947 8249 17.0101818 0.0170101818 8.71066526
946 8230 16.9354399 0.0169354399 8.69978858
946 8233 16.9373068 0.0169373068 8.70295983
946 8233 16.9371919 0.0169371919 8.70295983
946 8233 16.937093 0.016937093 8.70295983
946 8233 16.9371224 0.0169371224 8.70295983
946 8233 16.9371192 0.0169371192 8.70295983
946 8233 16.9371135 0.0169371135 8.70295983
946 8233 16.9371137 0.0169371137 8.70295983
946 8233 16.9371138 0.0169371138 8.70295983
946 8233 16.9371139 0.0169371139 8.70295983
945 8214 16.8642336 0.0168642336 8.69206349
945 8214 16.8640954 0.0168640954 8.69206349
945 8214 16.8641033 0.0168641033 8.69206349
945 8214 16.8641947 0.0168641947 8.69206349
945 8214 16.8641972 0.0168641972 8.69206349
945 8214 16.8641983 0.0168641983 8.69206349
945 8214 16.8642024 0.0168642024 8.69206349
945 8214 16.8642025 0.0168642025 8.69206349
945 8214 16.8642021 0.0168642021 8.69206349
945 8214 16.8642022 0.0168642022 8.69206349
944 8198 16.7886576 0.0167886576 8.68432203
944 8201 16.7949345 0.0167949345 8.6875
944 8207 16.7939171 0.0167939171 8.69385593
944 8209 16.7955654 0.0167955654 8.69597458
944 8209 16.7955094 0.0167955094 8.69597458
