# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 flexibility_diag=1 dataset_step=1400 eps=0.01 damp=0
step,move,vertex,dir,sT,sF,sI,bias_cert,score,abspol,margin,prod_plus,prod_minus,degree,n_inc,len1,len2,len3,len4p,Sigma_before,Sigma_per_N,step_frac,eta_before,r,converged,crashed,sat_oracle,delta_sigma,eta_after,mean_sI_after,delta_mean_sI
1400,back,68,1,0.837431363,0.0674511925,0.09511744451,0.9325488075,0.9325488075,0.7699801705,0.8509172443,0.1019972829,0.5850909884,12,12,0,0,12,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.07352654751,9,0.2024358371,-9.572732753e-05
1400,back,137,0,0.6504147893,0.06992094327,0.2796642674,0.9300790567,0.9300790567,0.5804938461,0.8058656815,0.3006887053,0.7999888407,3,3,0,1,2,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,137,1,0.6504147893,0.06992094327,0.2796642674,0.9300790567,0.9300790567,0.5804938461,0.8058656815,0.3006887053,0.7999888407,3,3,0,1,2,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.07489922245,9,0.2013663366,-0.001165227822
1400,back,15,0,0.07269907554,0.9091476924,0.01815323207,0.9273009245,0.9273009245,0.8364486168,0.8519136022,0.1998103575,0.01957641968,10,10,0,3,7,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.08017511164,15,0.2030926456,0.0005610811499
1400,back,15,1,0.07269907554,0.9091476924,0.01815323207,0.9273009245,0.9273009245,0.8364486168,0.8519136022,0.1998103575,0.01957641968,10,10,0,3,7,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,259,0,0.07449708571,0.8602820772,0.06522083712,0.9255029143,0.9255029143,0.7857849915,0.8406102988,0.4668036555,0.07047069881,9,9,0,1,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.0771689631,14,0.2023685007,-0.0001630636887
1400,back,259,1,0.07449708571,0.8602820772,0.06522083712,0.9255029143,0.9255029143,0.7857849915,0.8406102988,0.4668036555,0.07047069881,9,9,0,1,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,113,0,0.07518698025,0.7563787304,0.1684342893,0.9248130197,0.9248130197,0.6811917502,0.8191676754,0.6913776027,0.1821279391,10,10,0,1,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.07797568682,14,0.2033799997,0.0008484353035
1400,back,113,1,0.07518698025,0.7563787304,0.1684342893,0.9248130197,0.9248130197,0.6811917502,0.8191676754,0.6913776027,0.1821279391,10,10,0,1,9,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-1.415607874,56,0.1749921603,-0.02753940415
1400,back,66,0,0.07610622218,0.5516459744,0.3722478034,0.9238937778,0.9238937778,0.4755397522,0.7575278188,0.830254179,0.4029119065,5,5,0,2,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.07947883159,14,0.2007340336,-0.001797530843
1400,back,66,1,0.07610622218,0.5516459744,0.3722478034,0.9238937778,0.9238937778,0.4755397522,0.7575278188,0.830254179,0.4029119065,5,5,0,2,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,261,0,0.644265894,0.07808516075,0.2776489452,0.9219148392,0.9219148392,0.5661807333,0.7838027363,0.3011655019,0.7804957145,11,11,0,0,11,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-1.183072446,76,0.1786699022,-0.02386166224
