START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
278 1025 5.7757193 0.0192523977 3.68705036
278 1025 5.77572923 0.0192524308 3.68705036
278 1025 5.77573444 0.0192524481 3.68705036
278 1025 5.77573665 0.0192524555 3.68705036
278 1025 5.77573835 0.0192524612 3.68705036
278 1025 5.77573938 0.0192524646 3.68705036
278 1025 5.77574002 0.0192524667 3.68705036
277 1017 5.74904531 0.0191634844 3.67148014
277 1017 5.74899308 0.0191633103 3.67148014
277 1017 5.74897657 0.0191632552 3.67148014
277 1017 5.74898654 0.0191632885 3.67148014
277 1017 5.7489961 0.0191633203 3.67148014
277 1017 5.74899906 0.0191633302 3.67148014
277 1017 5.74900058 0.0191633353 3.67148014
277 1017 5.74900146 0.0191633382 3.67148014
277 1017 5.74900188 0.0191633396 3.67148014
277 1017 5.74900209 0.0191633403 3.67148014
276 1009 5.72205425 0.0190735142 3.6557971
276 1009 5.72207452 0.0190735817 3.6557971
276 1009 5.72208943 0.0190736314 3.6557971
276 1009 5.72210482 0.0190736827 3.6557971
276 1009 5.7221051 0.0190736837 3.6557971
276 1009 5.72210581 0.019073686 3.6557971
276 1009 5.72210631 0.0190736877 3.6557971
276 1009 5.72210658 0.0190736886 3.6557971
276 1009 5.72210673 0.0190736891 3.6557971
276 1009 5.72210681 0.0190736894 3.6557971
275 1002 5.6922643 0.0189742143 3.64363636
275 1002 5.69226325 0.0189742108 3.64363636
275 1002 5.69230835 0.0189743612 3.64363636
275 1002 5.69233411 0.018974447 3.64363636
275 1002 5.69234174 0.0189744725 3.64363636
275 1002 5.69234597 0.0189744866 3.64363636
275 1002 5.69234824 0.0189744941 3.64363636
275 1002 5.69234948 0.0189744983 3.64363636
275 1002 5.69235013 0.0189745004 3.64363636
