# scorer=cert K=3 N=300 M=1245 seed=3 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
112,dec,294,1204,1.358191107,0.004527303691,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008383625114,0.3969734293
113,back,293,1193,1.349753644,0.004499178814,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.005505175222,0.4462593762
114,dec,294,1204,1.358083895,0.004526946317,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.00530203643,0.4232450076
115,back,293,1193,1.349569017,0.00449856339,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.005410318684,0.492392953
116,dec,294,1204,1.35791937,0.004526397899,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.004767587296,0.4581940553
117,back,293,1193,1.349602566,0.00449867522,1,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.009696469959,0.3184130066
118,dec,294,1204,1.358122164,0.004527073881,1,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.009819987939,0.3134828939
119,back,293,1193,1.349820201,0.004499400669,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.004691250662,0.4442887735
120,dec,294,1204,1.35806181,0.004526872701,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.006105259762,0.536479794
121,back,293,1193,1.349255288,0.004497517626,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.008867433005,0.7301612647
122,dec,294,1204,1.357646413,0.004525488045,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.006657055557,0.6632959634
123,back,293,1193,1.349389756,0.004497965852,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.004842353614,0.4527422072
124,dec,294,1204,1.358121576,0.00452707192,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.004436784361,0.4289502564
125,back,293,1193,1.349746171,0.004499153903,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.004342486322,0.4093513785
126,dec,294,1204,1.357784319,0.00452594773,1,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.009939243421,0.3352544979
127,back,293,1193,1.349506413,0.00449835471,1,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.009427935327,0.3132053334
128,dec,294,1204,1.357899122,0.004526330408,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.005459880917,0.4914559731
129,back,293,1193,1.349522037,0.004498406789,2,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.005863146347,0.5383929035
130,dec,294,1204,1.357949721,0.00452649907,2,0,0.9912810102,6,0,1,0,-0,0,0,0,0,0.004934454397,0.4274938971
131,dec,293,1193,1.349469199,0.004498230663,1,0,0.9912810102,7,0,1,0,-0,0,0,0,0,0.009067654281,0.3022574653
132,back,292,1182,1.339697511,0.004465658369,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.008376669824,0.5943563637
133,dec,293,1193,1.349425348,0.004498084493,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.008148272949,0.6639964495
134,back,292,1182,1.339572376,0.004465241253,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.006796297532,0.5330906044
135,dec,293,1193,1.34951676,0.0044983892,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.007876758272,0.5844961279
136,back,292,1182,1.339639715,0.004465465715,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.006497153709,0.5049260555
137,dec,293,1193,1.34947744,0.004498258133,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.006714081625,0.5140133865
138,back,292,1182,1.339623241,0.004465410802,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.0064903144,0.5348535895
139,dec,293,1193,1.349603611,0.004498678704,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.006326418282,0.5204162277
140,back,292,1182,1.339759631,0.004465865438,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.00620258337,0.5207649454
141,dec,293,1193,1.349635652,0.004498785506,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.005999005353,0.5022633334
142,back,292,1182,1.339737657,0.004465792191,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.00608713813,0.5096554511
143,dec,293,1193,1.349599613,0.004498665375,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.00619411597,0.505097858
144,back,292,1182,1.339698136,0.004465660452,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.006393489334,0.5193338481
145,dec,293,1193,1.349586308,0.004498621027,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.00678653515,0.5289759625
146,back,292,1182,1.339704812,0.004465682708,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.00667165574,0.5237341023
147,dec,293,1193,1.349597813,0.004498659376,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.006718561926,0.5234236487
148,back,292,1182,1.339716457,0.004465721525,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.006406517406,0.5127603937
149,dec,293,1193,1.349601199,0.004498670665,2,0,0.9897353071,7,0,1,0,-0,0,0,0,0,0.006441719138,0.5161338027
150,dec,292,1182,1.339723237,0.004465744125,2,0,0.9897353071,8,0,1,0,-0,0,0,0,0,0.00628255218,0.5157436308
151,back,291,1175,1.329462551,0.004431541838,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006700509998,0.3100387573
152,dec,292,1182,1.339789357,0.004465964522,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.00582048113,0.2886552273
153,back,291,1175,1.329467476,0.004431558255,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006364547363,0.3205508758
154,dec,292,1182,1.339746917,0.004465823057,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.005666612839,0.2935326162
155,back,291,1175,1.329441463,0.004431471543,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.005684219777,0.2955277859
156,dec,292,1182,1.33977675,0.0044659225,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.006210112802,0.3077405487
157,back,291,1175,1.329405658,0.004431352193,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006463831641,0.3239925273
158,dec,292,1182,1.339757061,0.004465856872,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.006803913065,0.3343230734
159,back,291,1175,1.329395849,0.004431319497,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006459275575,0.3185727009
