seed	solutions	policy	b	t	solved	core_fraction	c1	v1	seconds
31	2	uniform	1.0	1.0	1	1.0	51	18	0.5730526769993958
31	2	critical	1.0	0.8	1	1.0	51	18	0.573214430999542
31	2	supported	0.8	1.0	1	1.0	51	18	0.5733525349996853
31	2	combined	0.6	0.9	1	1.0	51	18	0.5734931480001251
32	0	uniform	1.0	1.0	0				0.5661265030003051
32	0	critical	1.0	0.8	0				0.5661479930004134
32	0	supported	0.8	1.0	0				0.5661591630005205
32	0	combined	0.6	0.9	0				0.566168373000437
33	4	uniform	1.0	1.0	1	1.0	43	18	0.5876188840002214
33	4	critical	1.0	0.8	1	0.8888888888888888	37	17	0.5878777999996601
33	4	supported	0.8	1.0	1	0.8888888888888888	45	17	0.588113384999815
33	4	combined	0.6	0.9	1	0.8888888888888888	37	17	0.5883609109996542
34	5	uniform	1.0	1.0	1	0.0	55	16	0.5669662330001302
34	5	critical	1.0	0.8	1	0.0	49	15	0.5672891700005493
34	5	supported	0.8	1.0	1	0.0	49	15	0.5675735269996949
34	5	combined	0.6	0.9	1	0.0	49	15	0.5678689739997935
35	0	uniform	1.0	1.0	0				0.6221315940001659
35	0	critical	1.0	0.8	0				0.6221598339998309
35	0	supported	0.8	1.0	0				0.6221709339997687
35	0	combined	0.6	0.9	0				0.6221944750004695
36	2	uniform	1.0	1.0	1	0.9444444444444444	57	17	0.567196187999798
36	2	critical	1.0	0.8	1	0.9444444444444444	49	17	0.5673678120001568
36	2	supported	0.8	1.0	1	0.9444444444444444	57	17	0.5675175160004073
36	2	combined	0.6	0.9	1	0.9444444444444444	49	17	0.5676687290006157
37	0	uniform	1.0	1.0	0				0.5953602170002341
37	0	critical	1.0	0.8	0				0.5953913980001744
37	0	supported	0.8	1.0	0				0.5954026580002392
37	0	combined	0.6	0.9	0				0.5954117090004729
38	1	uniform	1.0	1.0	1	1.0	55	18	0.5443217850006477
38	1	critical	1.0	0.8	1	1.0	55	18	0.5444455580000067
38	1	supported	0.8	1.0	1	1.0	55	18	0.5445465210004841
38	1	combined	0.6	0.9	1	1.0	55	18	0.5446504030005599
39	5	uniform	1.0	1.0	1	0.0	49	15	0.5538957219996519
39	5	critical	1.0	0.8	1	0.0	48	17	0.5541893589997926
39	5	supported	0.8	1.0	1	0.0	49	15	0.5545302470000024
39	5	combined	0.6	0.9	1	0.0	49	15	0.5548242939994452
40	0	uniform	1.0	1.0	0				0.5604458979996707
40	0	critical	1.0	0.8	0				0.5604676180000752
40	0	supported	0.8	1.0	0				0.5604795079998439
40	0	combined	0.6	0.9	0				0.5604885789998661
41	0	uniform	1.0	1.0	0				0.5688223070001186
41	0	critical	1.0	0.8	0				0.5688541980007358
41	0	supported	0.8	1.0	0				0.5688657480004622
41	0	combined	0.6	0.9	0				0.568874808000146
42	0	uniform	1.0	1.0	0				0.5758008030006749
42	0	critical	1.0	0.8	0				0.5758315140001287
42	0	supported	0.8	1.0	0				0.5758423840006799
42	0	combined	0.6	0.9	0				0.5758516539999619
43	3	uniform	1.0	1.0	1	1.0	42	18	0.5899874500000806
43	3	critical	1.0	0.8	1	1.0	42	18	0.5901800450001247
43	3	supported	0.8	1.0	1	1.0	42	18	0.5903513490002297
43	3	combined	0.6	0.9	1	1.0	42	18	0.5905243730003349
44	4	uniform	1.0	1.0	1	0.8333333333333334	51	17	0.5890548679999483
44	4	critical	1.0	0.8	1	0.8333333333333334	42	17	0.5893186339999374
44	4	supported	0.8	1.0	1	0.8333333333333334	46	16	0.5895564600004946
44	4	combined	0.6	0.9	1	0.8333333333333334	46	16	0.589803796000524
45	3	uniform	1.0	1.0	1	0.8888888888888888	51	16	0.5539071819994206
45	3	critical	1.0	0.8	1	0.8888888888888888	51	16	0.5541123670000161
45	3	supported	0.8	1.0	1	0.8888888888888888	51	16	0.5543068209999547
45	3	combined	0.6	0.9	1	0.8888888888888888	51	16	0.5545079959993018
46	1	uniform	1.0	1.0	1	1.0	45	18	0.5631465919996117
46	1	critical	1.0	0.8	1	1.0	45	18	0.5632605049995618
46	1	supported	0.8	1.0	1	1.0	45	18	0.5633610969998699
46	1	combined	0.6	0.9	1	1.0	45	18	0.5634612499998184
47	0	uniform	1.0	1.0	0				0.5769882909999069
47	0	critical	1.0	0.8	0				0.5770212719999108
47	0	supported	0.8	1.0	0				0.5770324820005044
47	0	combined	0.6	0.9	0				0.5770416220002517
48	4	uniform	1.0	1.0	1	0.8888888888888888	47	16	0.5687491250000676
48	4	critical	1.0	0.8	1	0.8888888888888888	47	16	0.568997051000224
48	4	supported	0.8	1.0	1	0.8888888888888888	47	16	0.5692279960003361
48	4	combined	0.6	0.9	1	0.8888888888888888	47	16	0.5694565320000038
49	4	uniform	1.0	1.0	1	1.0	55	18	0.5969079740007146
49	4	critical	1.0	0.8	1	0.7777777777777778	48	17	0.5971589800001311
49	4	supported	0.8	1.0	1	0.7777777777777778	52	17	0.5973831649998829
49	4	combined	0.6	0.9	1	0.7777777777777778	48	17	0.5976211209999747
50	2	uniform	1.0	1.0	1	1.0	60	18	0.5487032290002389
50	2	critical	1.0	0.8	1	1.0	53	18	0.5488681830001951
50	2	supported	0.8	1.0	1	1.0	60	18	0.5490100460001486
50	2	combined	0.6	0.9	1	1.0	53	18	0.5491555200005678
