seed	solutions	b	t	mean_c1	mean_v1	mean_core_fraction	ess	seconds
44	21	1.0	0.95	48.66184090499126	17.19700333397906	0.028030067081146543	18.965646388044796	1.8151359120383859
44	21	1.0	0.9	46.635881080129906	17.179365479349734	0.014360678607679988	14.366424926489719	1.8151359120383859
44	21	1.0	0.8	43.38710281987991	17.212889484897172	0.002414130462749234	7.229328220680093	1.8151359120383859
44	21	0.8	1.0	50.462477759633444	16.97518828145945	0.02495795656730606	19.848216198439662	1.8151359120383859
44	21	0.8	0.95	48.54862095148528	16.940373452631007	0.014571320350205768	17.789204199406488	1.8151359120383859
44	21	0.8	0.9	46.62051809657319	16.92496913203796	0.007439664825601445	13.739278918849877	1.8151359120383859
44	21	0.8	0.8	43.527154464221546	16.96331470861969	0.0012611339574750574	7.482832543211126	1.8151359120383859
44	21	0.6	1.0	50.20309994655263	16.664473954693086	0.00999054392961394	16.028424450003996	1.8151359120383859
44	21	0.6	0.95	48.381288566044915	16.61977460447339	0.005768565918202867	13.888610980241104	1.8151359120383859
44	21	0.6	0.9	46.57453769285151	16.592818102326135	0.0029281415265595377	10.864645018251235	1.8151359120383859
44	21	0.6	0.8	43.71714936731296	16.617896979788284	0.0005010947133934922	6.664258100749627	1.8151359120383859
45	12	1.0	1.0	47.916666666666664	18.5	0.8999999999999999	12.0	2.0923301489674486
45	12	1.0	0.95	47.00001251919495	18.428971623745593	0.896895163745786	11.465338975948239	2.0923301489674486
45	12	1.0	0.9	46.0946864149202	18.367935010043983	0.8949755302078557	10.029022224650623	2.0923301489674486
45	12	1.0	0.8	44.34153342347664	18.261885863228134	0.8937908666920971	6.141922289548438	2.0923301489674486
45	12	0.8	1.0	47.60526315789474	18.26678765880218	0.8879310344827588	11.42022607158306	2.0923301489674486
45	12	0.8	0.95	46.75522869937135	18.210924507045043	0.8861693751788489	10.73890161668976	2.0923301489674486
45	12	0.8	0.9	45.89816577713386	18.165844673013716	0.8855368402876141	9.340601501691065	2.0923301489674486
45	12	0.8	0.8	44.198980478462055	18.09676556580061	0.8868199851665082	5.734744988252328	2.0923301489674486
45	12	0.6	1.0	47.30276381909548	18.00251256281407	0.8756281407035175	9.657013960860818	2.0923301489674486
